timestamp;meter;pv;sum
1;-7;0;-7
2;-17;0;-17
3;-21;0;-21
4;-34;0;-34
5;-37;0;-37
6;-45;0;-45
7;-52;0;-52
8;-64;0;-64
9;-84;0;-84
10;-70;0;-70
11;-88;0;-88
12;-112;0;-112
13;-91;0;-91
14;-121;0;-121
15;-140;0;-140
16;-112;0;-112
17;-119;0;-119
18;-126;0;-126
19;-164;0;-164
20;-150;0;-150
21;-147;0;-147
22;-206;0;-206
23;-199;0;-199
24;-192;0;-192
25;-175;0;-175
26;-225;0;-225
27;-202;0;-202
28;-242;0;-242
29;-217;0;-217
30;-259;0;-259
31;-290;0;-290
32;-225;0;-225
33;-285;0;-285
34;-255;0;-255
35;-262;0;-262
36;-311;0;-311
37;-277;0;-277
38;-356;0;-356
39;-365;0;-365
40;-321;0;-321
41;-354;0;-354
42;-295;0;-295
43;-345;0;-345
44;-330;0;-330
45;-389;0;-389
46;-398;0;-398
47;-330;0;-330
48;-415;0;-415
49;-424;0;-424
50;-375;0;-375
51;-382;0;-382
52;-417;0;-417
53;-458;0;-458
54;-433;0;-433
55;-475;0;-475
56;-450;0;-450
57;-458;0;-458
58;-501;0;-501
59;-414;0;-414
60;-562;0;-562
61;-428;0;-428
62;-465;0;-465
63;-442;0;-442
64;-514;0;-514
65;-457;0;-457
66;-530;0;-530
67;-471;0;-471
68;-478;0;-478
69;-517;0;-517
70;-525;0;-525
71;-614;0;-614
72;-623;0;-623
73;-684;0;-684
74;-555;0;-555
75;-562;0;-562
76;-712;0;-712
77;-666;0;-666
78;-731;0;-731
79;-555;0;-555
80;-642;0;-642
81;-759;0;-759
82;-615;0;-615
83;-718;0;-718
84;-675;0;-675
85;-637;0;-637
86;-744;0;-744
87;-611;0;-611
88;-707;0;-707
89;-834;0;-834
90;-843;0;-843
91;-853;0;-853
92;-739;0;-739
93;-697;0;-697
94;-705;0;-705
95;-667;0;-667
96;-830;0;-830
97;-909;0;-909
98;-689;0;-689
99;-795;0;-795
100;-803;0;-803
101;-874;0;-874
102;-819;0;-819
103;-724;0;-724
104;-835;0;-835
105;-984;0;-984
106;-917;0;-917
107;-802;0;-802
108;-934;0;-934
109;-766;0;-766
110;-825;0;-825
111;-1040;0;-1040
112;-787;0;-787
113;-908;0;-908
114;-801;0;-801
115;-1078;0;-1078
116;-870;0;-870
117;-877;0;-877
118;-1021;0;-1021
